label,message
spam,Earn money from home without any investment. Join today!
ham,The parcel has been delivered to your address.
ham,The parcel has been delivered to your address.
spam,You have been selected for a cash reward of $5000.
ham,Can you call me when you reach home?
ham,Your appointment is confirmed for 3 PM.
ham,Can you call me when you reach home?
ham,Please complete the assignment by tonight.
ham,Your appointment is confirmed for 3 PM.
spam,You have been selected for a cash reward of $5000.
ham,Let's catch up this weekend at the cafe.
spam,Your car warranty is about to expire. Renew now.
ham,Let's catch up this weekend at the cafe.
spam,You have been selected for a cash reward of $5000.
ham,Can you call me when you reach home?
ham,Can you call me when you reach home?
ham,"Hey, are you free for lunch tomorrow?"
ham,Are you coming to the office party?
spam,Earn money from home without any investment. Join today!
ham,Please complete the assignment by tonight.
spam,You have been selected for a cash reward of $5000.
ham,Don't forget to bring the documents to the meeting.
ham,Let's catch up this weekend at the cafe.
ham,Are you coming to the office party?
spam,URGENT! Your account has been suspended. Verify immediately.
ham,"Hey, are you free for lunch tomorrow?"
ham,Are you coming to the office party?
ham,Good morning! Hope you have a great day.
spam,Exclusive deal: Buy 1 get 3 free on all items.
ham,Happy Birthday! Wish you a wonderful year ahead.
spam,Your car warranty is about to expire. Renew now.
ham,"Hey, are you free for lunch tomorrow?"
ham,The parcel has been delivered to your address.
ham,Can you call me when you reach home?
spam,Act fast! Limited-time crypto investment opportunity.
ham,The parcel has been delivered to your address.
ham,Let's catch up this weekend at the cafe.
spam,Earn money from home without any investment. Join today!
ham,Your appointment is confirmed for 3 PM.
ham,Your appointment is confirmed for 3 PM.
spam,Congratulations! You've won a $1000 Walmart gift card. Claim now!
spam,Get cheap loans at 0% interest. Limited offer!
ham,Good morning! Hope you have a great day.
ham,Let's catch up this weekend at the cafe.
spam,Get cheap loans at 0% interest. Limited offer!
spam,You have been selected for a cash reward of $5000.
spam,Claim your free vacation trip to Dubai today!
spam,You have been selected for a cash reward of $5000.
spam,You have been selected for a cash reward of $5000.
spam,Get cheap loans at 0% interest. Limited offer!
ham,Happy Birthday! Wish you a wonderful year ahead.
spam,Act fast! Limited-time crypto investment opportunity.
spam,Earn money from home without any investment. Join today!
ham,Let's catch up this weekend at the cafe.
ham,Let's catch up this weekend at the cafe.
ham,Your appointment is confirmed for 3 PM.
ham,Happy Birthday! Wish you a wonderful year ahead.
spam,Your car warranty is about to expire. Renew now.
ham,The parcel has been delivered to your address.
spam,Act fast! Limited-time crypto investment opportunity.
spam,Your car warranty is about to expire. Renew now.
ham,The parcel has been delivered to your address.
ham,Please complete the assignment by tonight.
spam,Congratulations! You've won a $1000 Walmart gift card. Claim now!
ham,Let's catch up this weekend at the cafe.
spam,Earn money from home without any investment. Join today!
